Price on site,Sale/Rent,Rent type,Min price,Max price,Zip code,Site
"$1,660+ /month",Rent,Monthly,1660,,90038,Realtor
"$1,850+ /month",Rent,Monthly,1850,,90038,Realtor
Contact For Price,Rent,Monthly,0,0,90038,Realtor
"$1,450+ /month",Rent,Monthly,1450,,90038,Realtor
Contact For Price,Rent,Monthly,0,0,90038,Realtor
"$1,196+ /month",Rent,Monthly,1196,,90038,Realtor
"$2,600+ /month",Rent,Monthly,2600,,90038,Realtor
"$1,700+ /month",Rent,Monthly,1700,,90038,Realtor
"$2,300+ /month",Rent,Monthly,2300,,90038,Realtor
"$1,650+ /month",Rent,Monthly,1650,,90038,Realtor
"$3,195+ /month",Rent,Monthly,3195,,90038,Realtor
"$2,550+ /month",Rent,Monthly,2550,,90038,Realtor
"$1,795+ /month",Rent,Monthly,1795,,90038,Realtor
"$1,230+ /month",Rent,Monthly,1230,,90038,Realtor
"$2,495+ /month",Rent,Monthly,2495,,90038,Realtor
"$1,095+ /month",Rent,Monthly,1095,,90038,Realtor
"$2,450+ /month",Rent,Monthly,2450,,90038,Realtor
"$6,350 /month",Rent,Monthly,6350,6350,90038,Realtor
"$4,195 /month",Rent,Monthly,4195,4195,90038,Realtor
"$1,350/mo",Rent,Monthly,1350,1350,65109,Zillow
"$1,100/mo",Rent,Monthly,1100,1100,65109,Zillow
$525/mo,Rent,Monthly,525,525,65806,Zillow
"$1,975/mo",Rent,Monthly,1975,1975,87110,Zillow
"$2,600/mo",Rent,Monthly,2600,2600,90503,Zillow
"$3,400/mo",Rent,Monthly,3400,3400,90503,Zillow
"$4,500/mo",Rent,Monthly,4500,4500,90503,Zillow
$975/mo,Rent,Monthly,975,975,58601,Zillow
$495/mo,Rent,Monthly,495,495,58601,Zillow
"$1,450/mo",Rent,Monthly,1450,1450,83301,Zillow
"$1,795/mo",Rent,Monthly,1795,1795,83301,Zillow
"$2,160/mo",Rent,Monthly,2160,2160,83301,Zillow
"$4,200/mo",Rent,Monthly,4200,4200,93950,Zillow
"$5,500/mo",Rent,Monthly,5500,5500,93950,Zillow
"$13,000/mo",Rent,Monthly,13000,13000,93953,Zillow
$443/mo,Rent,Monthly,443,443,49783,Zillow
"$3,600/mo",Rent,Monthly,3600,3600,62702,Zillow
"$2,995/mo",Rent,Monthly,2995,2995,62702,Zillow
$719/mo,Rent,Monthly,719,719,49684,Zillow
"$11,000/mo",Rent,Monthly,11000,11000,94115,Zillow
"$19,500/mo",Rent,Monthly,19500,19500,94115,Zillow
"$3,242/mo",Rent,Monthly,3242,3242,20020,Zillow
"$2,985/mo",Rent,Monthly,2985,2985,7306,Zillow
"$3,575/mo",Rent,Monthly,3575,3575,20002,Zillow
"$3,900/mo",Rent,Monthly,3900,3900,94116,Zillow
"$2,250/mo",Rent,Monthly,2250,2250,94116,Zillow
"$1,750/mo",Rent,Monthly,1750,1750,94116,Zillow
"$3,200/mo",Rent,Monthly,3200,3200,94116,Zillow
"$4,625/mo",Rent,Monthly,4625,4625,94116,Zillow
"$8,500/mo",Rent,Monthly,8500,8500,94116,Zillow
"$2,400/mo",Rent,Monthly,2400,2400,94116,Zillow
"$2,750/mo",Rent,Monthly,2750,2750,94116,Zillow
"$2,799/mo",Rent,Monthly,2799,2799,94116,Zillow
"$3,995/mo",Rent,Monthly,3995,3995,94116,Zillow
"$3,995/mo",Rent,Monthly,3995,3995,94116,Zillow
"$3,795/mo",Rent,Monthly,3795,3795,94116,Zillow
"$4,800/mo",Rent,Monthly,4800,4800,94116,Zillow
"$4,595/mo",Rent,Monthly,4595,4595,94116,Zillow
"$3,300/mo",Rent,Monthly,3300,3300,94116,Zillow
"$2,950/mo",Rent,Monthly,2950,2950,94116,Zillow
"$4,290/mo",Rent,Monthly,4290,4290,94116,Zillow
"$2,840/mo",Rent,Monthly,2840,2840,94116,Zillow
"$5,200/mo",Rent,Monthly,5200,5200,94116,Zillow
"$2,495/mo",Rent,Monthly,2495,2495,94116,Zillow
"$2,550/mo",Rent,Monthly,2550,2550,94116,Zillow
"$2,400/mo",Rent,Monthly,2400,2400,94116,Zillow
"$4,800/mo",Rent,Monthly,4800,4800,94116,Zillow
"$2,500/mo",Rent,Monthly,2500,2500,94116,Zillow
"$2,800/mo",Rent,Monthly,2800,2800,94116,Zillow
"$2,100/mo",Rent,Monthly,2100,2100,94116,Zillow
"$2,475/mo",Rent,Monthly,2475,2475,94116,Zillow
"$1,775/mo",Rent,Monthly,1775,1775,94116,Zillow
"$6,500/mo",Rent,Monthly,6500,6500,94116,Zillow
"$2,580/mo",Rent,Monthly,2580,2580,94116,Zillow
"$4,500/mo",Rent,Monthly,4500,4500,94116,Zillow
"$2,595/mo",Rent,Monthly,2595,2595,94116,Zillow
"$3,250/mo",Rent,Monthly,3250,3250,94116,Zillow
"$3,950/mo",Rent,Monthly,3950,3950,94116,Zillow
"$1,900/mo",Rent,Monthly,1900,1900,94116,Zillow
"$3,500/mo",Rent,Monthly,3500,3500,94116,Zillow
"$3,800/mo",Rent,Monthly,3800,3800,94116,Zillow
"$3,499/mo",Rent,Monthly,3499,3499,94116,Zillow
"$4,745/mo",Rent,Monthly,4745,4745,94116,Zillow
"$2,300/mo",Rent,Monthly,2300,2300,94116,Zillow
"$1,399/mo",Rent,Monthly,1399,1399,94116,Zillow
"$3,000/mo",Rent,Monthly,3000,3000,94116,Zillow
"$2,400/mo",Rent,Monthly,2400,2400,94116,Zillow
$975/mo,Rent,Monthly,975,975,19121,Zillow
"$1,700/mo",Rent,Monthly,1700,1700,19121,Zillow
"$3,000+",Rent,Monthly,3000,,19121,Zillow
"$1,600/mo",Rent,Monthly,1600,1600,19121,Zillow
"$1,800+",Rent,Monthly,1800,,19121,Zillow
"$1,500/mo",Rent,Monthly,1500,1500,19121,Zillow
"$2,400/mo",Rent,Monthly,2400,2400,19121,Zillow
"$2,000+",Rent,Monthly,2000,,19121,Zillow
"$1,300/mo",Rent,Monthly,1300,1300,19121,Zillow
"$1,300/mo",Rent,Monthly,1300,1300,19121,Zillow
"$1,400+",Rent,Monthly,1400,,19121,Zillow
"$1,500+",Rent,Monthly,1500,,19121,Zillow
"$2,500/mo",Rent,Monthly,2500,2500,19121,Zillow
"$1,500/mo",Rent,Monthly,1500,1500,19121,Zillow
"$1,475+",Rent,Monthly,1475,,19121,Zillow
"$1,310+",Rent,Monthly,1310,,19121,Zillow
$825+,Rent,Monthly,825,,19121,Zillow
"$1,200/mo",Rent,Monthly,1200,1200,19121,Zillow
"$1,425+",Rent,Monthly,1425,,19121,Zillow
"$1,200/mo",Rent,Monthly,1200,1200,19121,Zillow
$700/mo,Rent,Monthly,700,700,19121,Zillow
"$1,350/mo",Rent,Monthly,1350,1350,19121,Zillow
"$1,250/mo",Rent,Monthly,1250,1250,19121,Zillow
"$1,150/mo",Rent,Monthly,1150,1150,19121,Zillow
"$1,500/mo",Rent,Monthly,1500,1500,19121,Zillow
"$2,200/mo",Rent,Monthly,2200,2200,19121,Zillow
"$1,695/mo",Rent,Monthly,1695,1695,19121,Zillow
"$1,200/mo",Rent,Monthly,1200,1200,19121,Zillow
"$2,400/mo",Rent,Monthly,2400,2400,19121,Zillow
"$2,175/mo",Rent,Monthly,2175,2175,19121,Zillow
$830/mo,Rent,Monthly,830,830,19121,Zillow
$700/mo,Rent,Monthly,700,700,19121,Zillow
$750/mo,Rent,Monthly,750,750,19121,Zillow
"$1,500/mo",Rent,Monthly,1500,1500,19121,Zillow
$825/mo,Rent,Monthly,825,825,19121,Zillow
"$3,500/mo",Rent,Monthly,3500,3500,19121,Zillow
"$1,695/mo",Rent,Monthly,1695,1695,19121,Zillow
"$2,750/mo",Rent,Monthly,2750,2750,19121,Zillow
"$1,600/mo",Rent,Monthly,1600,1600,19121,Zillow
"$1,300/mo",Rent,Monthly,1300,1300,19121,Zillow
"$1,200/mo",Rent,Monthly,1200,1200,19121,Zillow
"$1,825/mo",Rent,Monthly,1825,1825,19121,Zillow
"$1,800/mo",Rent,Monthly,1800,1800,19121,Zillow
"$1,650/mo",Rent,Monthly,1650,1650,19121,Zillow
"$1,800/mo",Rent,Monthly,1800,1800,19121,Zillow
"$1,500/mo",Rent,Monthly,1500,1500,19121,Zillow
"$1,900/mo",Rent,Monthly,1900,1900,19121,Zillow
"$1,300/mo",Rent,Monthly,1300,1300,19121,Zillow
"$1,725/mo",Rent,Monthly,1725,1725,19121,Zillow
$800/mo,Rent,Monthly,800,800,19121,Zillow
"$2,995/mo",Rent,Monthly,2995,2995,19121,Zillow
"$1,375/mo",Rent,Monthly,1375,1375,19121,Zillow
"$1,350/mo",Rent,Monthly,1350,1350,19121,Zillow
"$1,150/mo",Rent,Monthly,1150,1150,19121,Zillow
"$2,100/mo",Rent,Monthly,2100,2100,19121,Zillow
"$2,200/mo",Rent,Monthly,2200,2200,19121,Zillow
"$2,000/mo",Rent,Monthly,2000,2000,19121,Zillow
"$2,000/mo",Rent,Monthly,2000,2000,19121,Zillow
"$1,450/mo",Rent,Monthly,1450,1450,19121,Zillow
$795/mo,Rent,Monthly,795,795,19121,Zillow
"$1,100/mo",Rent,Monthly,1100,1100,19121,Zillow
"$1,995/mo",Rent,Monthly,1995,1995,19121,Zillow
"$1,400/mo",Rent,Monthly,1400,1400,19121,Zillow
"$1,275/mo",Rent,Monthly,1275,1275,19121,Zillow
"$1,800/mo",Rent,Monthly,1800,1800,19121,Zillow
"$1,950/mo",Rent,Monthly,1950,1950,19121,Zillow
"$12,169/mo",Rent,Monthly,12169,12169,20002,Trulia
"$2,000/mo",Rent,Monthly,2000,2000,20002,Trulia
"$2,050/mo",Rent,Monthly,2050,2050,20002,Trulia
"$1,700/mo",Rent,Monthly,1700,1700,20002,Trulia
"$1,375/mo",Rent,Monthly,1375,1375,20002,Trulia
$840/mo,Rent,Monthly,840,840,20002,Trulia
$700/mo,Rent,Monthly,700,700,20002,Trulia
